fold,site,n_train,n_test,train_time,infer_time,fold_time
0,115553_48392,2000,361,3.1761516015976667,0.13621707074344158,3.5984078217297792
1,114021_46842,2000,362,2.0115270502865314,0.11714588478207588,2.1350193824619055
2,114158_46244,2000,364,1.8625715617090464,0.11941524408757687,1.9873899072408676
3,115324_47594,2000,362,1.7586713880300522,0.08768762089312077,1.8522847685962915
4,112501_46003,2000,365,1.3184565007686615,0.05565197765827179,1.3780432529747486
5,111092_44658,2000,361,1.2502971664071083,0.05685204826295376,1.3115815352648497
6,113484_47177,2000,365,1.242969524115324,0.05754435621201992,1.3052575942128897
7,112013_46659,2000,365,1.25745540112257,0.05649477615952492,1.316880326718092
8,111303_47494,2000,365,1.2511281725019217,0.0577085055410862,1.312505317851901
9,111056_45684,2000,352,1.2522600684314966,0.057166434824466705,1.3129025381058455
10,114224_47013,2000,365,1.2560896538197994,0.05806797556579113,1.3171521201729774
11,105370_45440,2000,362,1.2557285316288471,0.05843570828437805,1.318985402584076
12,106490_45366,2000,357,1.2521942928433418,0.05784104950726032,1.3129997998476028
13,114189_48364,2000,361,1.261549087241292,0.0574596282094717,1.3218907043337822
14,111987_46850,2000,346,1.289453549310565,0.06289569847285748,1.355934439226985
15,109455_47049,2000,357,1.2582120057195425,0.05684804543852806,1.318196602165699
16,107862_48318,2000,365,1.2524866554886103,0.05816424638032913,1.314413532614708
17,104677_47868,2000,365,1.2526819873601198,0.05861196853220463,1.3154387138783932
18,113155_47122,2000,110,1.2574226465076208,0.06250784732401371,1.3229651767760515
19,114001_45860,2000,118,1.2801655605435371,0.0594812948256731,1.342671925202012
20,115672_47955,2000,106,1.255882477387786,0.058355316519737244,1.3172140959650278
21,114270_47773,2000,93,1.2517311070114374,0.058184295892715454,1.3137158639729023
22,106557_45648,2000,120,1.2532101590186357,0.057988157495856285,1.3146334681659937
23,105103_48308,2000,93,1.2541871089488268,0.05742029845714569,1.3156636487692595
24,111712_46826,2000,94,1.2528752982616425,0.05781697668135166,1.314326386898756
25,108720_47582,2000,107,1.2527232486754656,0.058027517050504684,1.3137480653822422
26,113997_48510,2000,106,1.259554922580719,0.057936135679483414,1.3204591795802116
27,104476_48487,2000,104,1.257375931367278,0.05782554671168327,1.3182214014232159
