fold,n_sites,n_obs,rmse_log,mae_log,r2_log,years
0,6,1389,0.5131620724718097,0.393689508445034,0.4741799824481619,2019
1,5,1560,0.7536780384203937,0.5876326516793203,0.141615256823948,2019
2,4,927,0.4586968396416851,0.3626551758116996,0.1742409701649402,2019
3,10,2836,0.7626188545291787,0.6104882023065323,-0.2255808227411808,2019
4,3,839,0.4562801781954107,0.3607237804651607,0.291205158705473,2019
0,6,2821,0.5793561590903159,0.4409657512278599,0.4377142077272783,2018-2019
1,5,3112,0.7772792931951752,0.5957136447661613,0.1160394069176196,2018-2019
2,4,1844,0.503301919474275,0.3954316698861289,0.2140455607604945,2018-2019
3,10,5634,0.5368433410412844,0.4152344197752259,0.4348298686923783,2018-2019
4,3,1669,0.468678199484322,0.3668624756314236,0.4061028842054179,2018-2019
0,6,2821,0.5793561590903159,0.4409657512278599,0.4377142077272783,2018-2019
1,5,3112,0.7772792931951752,0.5957136447661613,0.1160394069176196,2018-2019
2,4,1844,0.503301919474275,0.3954316698861289,0.2140455607604945,2018-2019
3,10,5634,0.5368433410412844,0.4152344197752259,0.4348298686923783,2018-2019
4,3,1669,0.468678199484322,0.3668624756314236,0.4061028842054179,2018-2019
0,6,2821,0.5793561590903159,0.4409657512278599,0.4377142077272783,2018-2019
1,5,3112,0.7772792931951752,0.5957136447661613,0.1160394069176196,2018-2019
2,4,1844,0.503301919474275,0.3954316698861289,0.2140455607604945,2018-2019
3,10,5634,0.5368433410412844,0.4152344197752259,0.4348298686923783,2018-2019
4,3,1669,0.468678199484322,0.3668624756314236,0.4061028842054179,2018-2019
0,6,1389,0.5131620724718097,0.393689508445034,0.4741799824481619,2019
1,5,1560,0.7536780384203937,0.5876326516793203,0.141615256823948,2019
2,4,927,0.4586968396416851,0.3626551758116996,0.1742409701649402,2019
3,10,2836,0.7626188545291787,0.6104882023065323,-0.2255808227411808,2019
4,3,839,0.4562801781954107,0.3607237804651607,0.291205158705473,2019
0,6,2821,0.616804779007948,0.4769749796627974,0.3626744735703319,2018-2019
1,5,3112,0.7803309955732624,0.5984181388674186,0.1090846862487121,2018-2019
2,4,1844,0.4887801345361098,0.3843899213369519,0.2587455884632249,2018-2019
3,10,5634,0.54567091397407,0.4246604849568511,0.4160903255406186,2018-2019
4,3,1669,0.4619922600035442,0.3617477817082192,0.4229265286322525,2018-2019
0,8,3084,0.6554034127608408,0.5031377645259804,0.2869675307465201,2018-2019
1,5,3112,0.8121195977463762,0.6246688694521435,0.035019161099739,2018-2019
2,6,2269,0.5332920563617614,0.4133363994623306,0.124812084865873,2018-2019
3,3,1670,0.478447817966892,0.3740379135228108,0.3810909978201373,2018-2019
4,10,5437,0.5885213125131973,0.4639846931804003,0.3130430767206043,2018-2019
0,8,3084,0.6554034127608408,0.5031377645259804,0.28696753074652015,2018-2019
1,5,3112,0.8121195977463762,0.6246688694521435,0.035019161099739016,2018-2019
2,6,2269,0.5332920563617614,0.4133363994623306,0.12481208486587303,2018-2019
3,3,1670,0.47844781796689206,0.37403791352281085,0.38109099782013733,2018-2019
4,10,5437,0.5885213125131973,0.46398469318040036,0.3130430767206043,2018-2019
