fold,site,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,115553_48392,0.1740216761827469,0.17350658774375916,0.19769835472106934,0.3914990723133087,514.4473673715833,495.70447162000255,510.9593275950574,0.15119223296642303
1,114021_46842,0.17670074105262756,0.17695020139217377,0.18946826457977295,0.37314271926879883,508.17718990775745,510.42972632770824,531.7553922965013,0.1500260829925537
2,114158_46244,0.2152532935142517,0.33215948939323425,0.3618248403072357,0.9847103357315063,301.70993748215324,357.1808507506214,256.00917374709127,0.12597490847110748
3,115324_47594,0.23286427557468414,0.40834471583366394,0.21063576638698578,0.626032292842865,410.5730655601207,418.3000902995112,453.1074643643313,0.18038688600063324
4,112501_46003,0.29359740018844604,0.2901034355163574,0.3069645166397095,0.5895721316337585,538.3743114170783,438.7846200201979,303.6116540098056,0.12605038285255432
5,111092_44658,0.1733854115009308,0.20283281803131104,0.277515172958374,0.09870114922523499,338.21770084821526,384.9594856355815,589.8747633314618,0.15765796601772308
6,112013_46659,0.2512472867965698,0.41945192217826843,0.24542175233364105,0.4756227433681488,260.02119437780414,496.51913223456734,322.7139218349166,0.15844018757343292
7,111303_47494,0.2786182165145874,0.32119953632354736,0.20372159779071808,1.0817632675170898,476.9725961973807,467.9650087391818,275.09743950585823,0.13603785634040833
8,111056_45684,0.1806042492389679,0.1914203017950058,0.18219196796417236,0.54339599609375,512.5028617813572,529.9049272126222,518.3024017061472,0.14831934869289398
9,114224_47013,0.18460562825202942,0.204169362783432,0.19668088853359222,0.40929466485977173,503.531070543223,509.9208414332087,501.39620717889716,0.16529858112335205
10,105370_45440,0.24894055724143982,0.3349853754043579,0.2994546592235565,0.9271944165229797,388.99659862455076,396.2581776845983,296.2754519217107,0.13355064392089844
11,106490_45366,0.2241884022951126,0.25522592663764954,0.1699935346841812,0.06288701295852661,337.7380183549361,333.83380612750534,603.055181100263,0.17450197041034698
12,114189_48364,0.1783282309770584,0.1873859167098999,0.1962774097919464,0.6758458018302917,510.33397143382723,517.6680817215965,457.0016788647531,0.1534043550491333
13,111987_46850,0.2942778468132019,0.15887673199176788,0.11379026621580124,0.04447128251194954,295.46417417380496,515.7379248777245,281.7156661224905,0.17158560454845428
14,109455_47049,0.22171027958393097,0.1148020550608635,0.16449981927871704,0.055924560874700546,312.9562256400743,361.7824521402128,318.7522330166383,0.18271386623382568
15,107862_48318,0.18136785924434662,0.19801335036754608,0.1928417980670929,0.6381627917289734,502.58741177129366,514.3932734698332,525.5645757196351,0.15099798142910004
16,104677_47868,0.1733800172805786,0.19233182072639465,0.17986449599266052,0.3722449243068695,532.6509716449817,526.325590286653,505.23122213475904,0.1512453705072403
17,108720_47582,0.39486056566238403,0.3507562577724457,0.11226280778646469,0.5794689059257507,333.39261680799103,379.99945927724525,477.7587523079225,0.12972334027290344
18,113997_48510,0.23237517476081848,0.2986484169960022,0.20731845498085022,0.7250194549560547,351.58060630105325,446.170423804889,294.24921497833816,0.14920146763324738
19,111712_46826,0.17483486235141754,0.16639478504657745,0.1787469983100891,0.41686251759529114,537.7531558296806,517.1865064227242,544.1781800208615,0.13918280601501465
20,113155_47122,0.19916483759880066,0.21513621509075165,0.2134697288274765,0.6812263131141663,474.8257717641091,500.17671301506124,491.0319416959861,0.17825055122375488
21,114001_45860,0.2760475277900696,0.12058909982442856,0.11053667962551117,0.10034682601690292,272.49529728196694,502.1377770730784,325.9025085946805,0.1777873933315277
22,115672_47955,0.3784087598323822,0.2968862056732178,0.21366722881793976,0.10005442798137665,319.870625395387,361.2126291850135,593.3362531216874,0.12133120000362396
23,104476_48487,0.19424881041049957,0.2182186245918274,0.21748003363609314,0.5706732273101807,508.38256455177424,507.5949711186992,484.1009160657115,0.17507854104042053
24,114270_47773,0.23788154125213623,0.27980056405067444,0.21146516501903534,0.11515794694423676,267.99776974170345,498.9319734938832,264.19910292639736,0.17336180806159973
25,105103_48308,0.19454286992549896,0.217158243060112,0.2093953639268875,0.5630197525024414,495.9709605316669,485.7072214575409,465.13445924085283,0.17475315928459167
26,106557_45648,0.26719051599502563,0.45436882972717285,0.14218121767044067,0.664320170879364,246.13572542816866,544.300172062014,421.6674637760573,0.12650379538536072
27,113484_47177,0.17700383067131042,0.21742193400859833,0.184379443526268,0.6372836232185364,530.9704368768973,525.4600624396957,520.296608646762,0.14888064563274384
28,115195_48971,0.23886051774024963,0.1551591455936432,0.2083640992641449,0.06272299587726593,268.80069486924896,330.1434533995449,422.23027301911276,0.1691945344209671
29,109677_48551,0.3292156159877777,0.16816307604312897,0.22505904734134674,0.042191918939352036,351.5340678705202,341.5950375016257,312.2237963079534,0.13436739146709442
30,112364_48607,0.1699996441602707,0.221604585647583,0.18408294022083282,0.3294311761856079,475.1592089139578,520.4091479946356,453.781338086255,0.14726833999156952
31,114096_46927,0.24541735649108887,0.3137325048446655,0.24940639734268188,0.40129509568214417,443.40389023242506,440.41906756672927,312.7920192204994,0.1635216921567917
