fold,site,state,n_inducing,r2_log,r2_orig,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,108720_47582,MT,256,0.3084295116790595,0.3807056143225932,0.1270722895860672,0.46773073077201843,0.3651895225048065,0.7227245569229126,556.7433101845531,586.0462271142338,481.8550053037484,0.22850771248340607
0,108720_47582,MT,512,0.38690669966896696,0.3822841281791688,0.1396903097629547,0.5222590565681458,0.3997966945171356,0.6901868581771851,531.0568809979538,580.8338501047535,433.0964097548771,0.2200901061296463
0,108720_47582,MT,1024,0.41428600703239626,0.40529348383176933,0.1626705527305603,0.5426816940307617,0.43355634808540344,0.6872254610061646,525.8952208083803,566.7334639517358,405.5054252034117,0.21043550968170166
0,108720_47582,MT,2048,0.453009197251102,0.3743572142036563,0.1696823686361313,0.5550967454910278,0.4804137945175171,0.6773169040679932,508.4704354233459,545.5349939141578,387.4055005396486,0.1997024565935135
0,108720_47582,MT,4096,0.4949299360112932,0.40322439516367226,0.18147996068000793,0.5505139231681824,0.49309033155441284,0.6639273166656494,470.63735310133035,500.0939848901513,384.3032460252733,0.19130006432533264
1,115553_48392,MT,256,0.3436406564331722,0.3018117237919843,0.1267511248588562,0.4737132787704468,0.38239210844039917,0.7091377973556519,561.036277316768,584.2061974028136,478.48080483841255,0.22960308194160461
1,115553_48392,MT,512,0.3946218013443501,0.3608406978637094,0.15051808953285217,0.5199370980262756,0.40536120533943176,0.6944077610969543,537.8046377954834,578.305355110397,454.6358568163434,0.22038957476615906
1,115553_48392,MT,1024,0.428362051081003,0.3641374354187601,0.165342777967453,0.5361195802688599,0.4404882788658142,0.6720885038375854,530.9219366870326,574.4969682090799,404.7891112687876,0.21071124076843262
1,115553_48392,MT,2048,0.4111194264415211,0.3429970084655153,0.16914592683315277,0.5515177249908447,0.4698983430862427,0.6783165335655212,509.4604287360203,536.6782454859704,383.38740506001426,0.20009110867977142
1,115553_48392,MT,4096,0.4441496259003459,0.3720879361635112,0.1782110333442688,0.5699625611305237,0.48417699337005615,0.6774572134017944,472.05057834676705,511.6593665542286,385.03394636299276,0.19154790043830872
2,108512_45780,MT,256,0.16162101488385083,0.2570900199272558,0.12521150708198547,0.45979028940200806,0.3737383484840393,0.7186687588691711,552.9204378011611,583.365724607681,475.0507949268261,0.2288184016942978
2,108512_45780,MT,512,0.15675699960180578,0.26647390631327916,0.14038226008415222,0.5175955295562744,0.3786446154117584,0.6905988454818726,534.7203232859938,574.8027132912326,438.95774487071526,0.2195015549659729
2,108512_45780,MT,1024,-0.11969641319436763,0.005424402124348582,0.16099172830581665,0.5400230884552002,0.4393788278102875,0.6834117770195007,529.8162086915963,567.2409732130913,399.20859888655207,0.21016046404838562
2,108512_45780,MT,2048,-0.05058873131648656,0.09557982789047748,0.17048683762550354,0.557971715927124,0.46972042322158813,0.6765907406806946,519.5530397208681,536.5287278434623,382.42886541434575,0.19953173398971558
2,108512_45780,MT,4096,-0.1617873523646245,0.053586638437034595,0.18232809007167816,0.567110002040863,0.4769632816314697,0.6755111217498779,472.8323642209152,505.5213141117117,383.6982054404098,0.19108326733112335
3,105103_48308,MT,256,0.1491137601887611,0.1612699939043345,0.11825310438871384,0.45354294776916504,0.37631943821907043,0.7140161991119385,541.2998997581401,597.1435687655119,475.0819257134155,0.2282702475786209
3,105103_48308,MT,512,0.07383566114551554,0.12315958172802322,0.14853444695472717,0.5198890566825867,0.41189780831336975,0.7000464797019958,537.7891625053356,580.7928803975086,457.6080254915782,0.2201806902885437
3,105103_48308,MT,1024,0.1031875079121789,0.1452086116530511,0.1647961139678955,0.5353888273239136,0.4386996924877167,0.6734880208969116,529.6623409523023,566.535604174931,403.4939624448683,0.21021072566509247
3,105103_48308,MT,2048,-0.46554350516306275,-0.1331142538994019,0.1706065982580185,0.5513842701911926,0.45872488617897034,0.6707457900047302,513.0726981821825,546.001977363798,386.28990154470284,0.19966498017311096
3,105103_48308,MT,4096,-0.9436157586497493,-0.4774500876979493,0.18202710151672363,0.5552918910980225,0.5012811422348022,0.6669445037841797,469.83779758333696,502.5165152852253,385.4152830139576,0.1913457214832306
4,112501_46003,MT,256,0.3483001425279463,0.24784704160339843,0.13225321471691132,0.49106985330581665,0.4159127473831177,0.7018911838531494,544.6362398161077,583.8621547907075,475.8324389849522,0.2298816293478012
4,112501_46003,MT,512,0.3544430453184997,0.2709904867895099,0.14607834815979004,0.5144704580307007,0.39958587288856506,0.7091940641403198,540.3436793560612,582.4916582599055,446.9427536362045,0.21971963346004486
4,112501_46003,MT,1024,0.30257122153228067,0.21240415275972324,0.1601284146308899,0.5418797731399536,0.41983675956726074,0.6834636926651001,531.2824651903378,576.090843461354,405.6766120626704,0.2099909782409668
4,112501_46003,MT,2048,0.3316067713602364,0.27927389168306493,0.16924461722373962,0.5574954748153687,0.46318525075912476,0.6726858019828796,516.7675761491064,548.7851244790046,384.9288580131627,0.1991836130619049
4,112501_46003,MT,4096,0.3387962386313802,0.3251117191345778,0.1791110783815384,0.5648993849754333,0.4986557364463806,0.6813555955886841,463.0333326719578,497.12683730376966,385.68331996166546,0.19094309210777283
